review,feature request,bug report,rating,user experience,ID
"Should read battery_current_now  not battery_current I seem to be on a """"""""""""""""""""""""""""""""quest"""""""""""""""""""""""""""""""" to find any app/widget/piece of software that will do one simple task: read the battery current sensor in """"""""""""""""""""""""""""""""relative real-time"""""""""""""""""""""""""""""""" - that is  as the CPU scales up and down  GPU kicks in and out  4G modem does its dance  and as all the little things of the system do their work  I can see the immediate response in the current that is MEASURED BY MY PHONE'S SENSOR. It has a sensor. It doesn't need estimation. It just needs an app that'll read /sys/class/power_supply/battery/battery_current_now without delaying 10 seconds for statistics logging or because it thinks it'll only update that fast. I can open a (non-root) shell and """"""""""""""""""""""""""""""""cat /sys/class/power_supply/battery/battery_current_now""""""""""""""""""""""""""""""""  and it'll show me a new value each time  as often as I run it  multiple times a second. Why can't an app do that? Even when I select """"""""""""""""""""""""""""""""1"""""""""""""""""""""""""""""""" for the refresh interval (which would be adequate  but still slow)  the """"""""""""""""""""""""""""""""last updated"""""""""""""""""""""""""""""""" timer ticks away  but the value stays the same. This means the app is reading """"""""""""""""""""""""""""""""battery_current""""""""""""""""""""""""""""""""  not """"""""""""""""""""""""""""""""battery_current_now"""""""""""""""""""""""""""""""" (I tested that - """"""""""""""""""""""""""""""""now"""""""""""""""""""""""""""""""" is real-time). For as well designed as this app is  I'm surprised this was overlooked! :(""""",1,0,0,0,824
Best app on my phone.. Including phone itself. After trying 7-10 other e-book readers and finding multiple issues with each one  I stumbled across this one (thinking it looked so basic it was gonna be another crappy one) with nothing to lose...6 years and 7 phones later it remains my all time favorite  and most used app ever. I use it by far more often than any other app  including the phone dialer. Every new phone I've gotten this has always been the first app to go on  and flawless syncing with FB reader and Google drive means I just have to download and sign in on new phone and everything is right in the world again.. plus I can pick up any of my multiple devices and open to same spot no matter what device I stopped on.. Can't go on enough about how much i love this reader.. bought the premium version not because the free one was lacking.. Honestly if I never even open the premium version and kept using the free one it will be worth the price after the years of enjoyment from free one.. Really just buying it to thank developers. Couple of small changes might make it PERFECT (really I'm nit picking here) 1. Auto scroll would be awesome for people like me who need larger font so we don't need to turn page every 3 servings 2. Pinch to adjust font size (for same reason) 3. Bookmarking could be made easier with dedicated space in corner... And that's all I can think of that isn't perfect,1,1,0,1,287868
Something is seriously wrong with the setup process... Pass code initially recv'd was unable to enter as either the app or my cell auto skipped by that screen thus invalidating that code... Unable to find an answer in the FAQS messaged support asking if it would effect the functionality... Response did not answer my question and from what I can tell one can't simply enter a new pass code anywhere once installed.. Therefore uninstall  cleared cache and reinstalled.. The new code support sent obviously no longer worked and a new one was never recv'd... Another problem as when you click the pass code not received another one is sent but kicked out of the pass code screen no water to get back to it... A message in the app has a link to click if pass code not received and a timer pops up saying a rep w call you back... Clicked 2x's and no return call after waiting much longer than the less than 2 min displayed... Deleted as this is simply annoying... Had their support answered my question correctly to begin with don't think I'd be as irked wasting my time or called as didn't ask for a call back so don't add a msg saying someone will when they don't... also annoying... Work in IT and completely understand issues happen either w the app even possibly my error yet not much patience when misinformation... Delete...,0,1,0,0,151309
"When trying the Android app (with offline map pack for the UK) today when using the """"""""""""""""""""""""""""""""LiveRide"""""""""""""""""""""""""""""""" feature I encountered two bugs which make using the app an incredibly frustrating experience: * When in """"""""""""""""""""""""""""""""LiveRide"""""""""""""""""""""""""""""""" mode the app does not keep the screen awake so after the phones """"""""""""""""""""""""""""""""period of inactivity"""""""""""""""""""""""""""""""" is reached the screen is switched off. This is incredibly frustrating as I had my phone in a case and I had to take it out of the case to switch the screen back on. * When in """"""""""""""""""""""""""""""""LiveRide"""""""""""""""""""""""""""""""" mode and using the offline maps if you switch out of the app (i.e. using the task switch button in Android) and back into the app the maps completely disappear  the route is still visible (i.e. the lines) but everything else is gone. The only way I've found to fix this is to stop """"""""""""""""""""""""""""""""LiveRide"""""""""""""""""""""""""""""""" and start it all over again! I found this issue due to the previously mentioned issue where the screen would turn off. When I switched the screen back on and went back into the app the maps were gone. I would appreciate if the developer(s) of the app could fix this as the bugs mentioned above make navigation using """"""""""""""""""""""""""""""""LiveRide"""""""""""""""""""""""""""""""" a real painful experience.""""",1,1,1,0,165096
"Just what I was looking for to track family games This app was perfect for my needs. Needed something that I could easily keep score in various games and customize the values so that it was quick and easy to use and get rid of paper & pen. This app did that  and it had what it needed to do it well. Things like keeping the screen on  and also being smart enough that if I hit +500 +100 +100 that I was saying +700 for that person for a turn. Works perfectly. Now my only 3 things I would love to see to make this app even better. 1.) When exporting to PDF find a way to export all that same information that you can see in the game history like in the app. Then you can make nice tables/graphs in excel with the data and see the nice time/score layouts. 2.) The 4 on screen buttons are by far the most important for me playing games with high point values. I was able to work with just 4 but it would be nice if you could customize to add a few more if desired. 3.) I have not made a mistake YET but I know I will especially with drinking games. If I hit +500 points to somebody and meant to hit +100 I wish there was either an """"""""""""""""""""""""""""""""undo"""""""""""""""""""""""""""""""" button or there was a """"""""""""""""""""""""""""""""inverse"""""""""""""""""""""""""""""""" button. Meaning do the opposite of a buttons value to fix mistakes.""""",1,0,0,1,10040
"What can I say  Dev's a genius! Great  does it all but one tiny gripe as I am OCD  after I set my profile - why does it have to tell me Every single time in the notifications it applied changes on reboot  I get it to show the first time  but every time nor do I need the icon up in my top left bumping out my ram """"""""""""""""""""""""""""""""clock"""""""""""""""""""""""""""""""" in favor of it. Should be optional to keep notifications for it on but only see it after first reboot or available in the pay version but as for being the program it is  its simply superb! These gripes are miniscule compared to the power this program provides and with no ads I do not want to sound ungrateful as I truly am but Google only allows so much space! 5 star program! Got rid of that shady root booster app in favor of this as this is safe enough but offers more control and allows you to see what's being done as well as offers much more options  again - simp!y superb is the word! How he made it work with so many devices is a miracle in and of itself. A must have app for any """"""""""""""""""""""""""""""""ROOTED"""""""""""""""""""""""""""""""" tinkerer with the itch to  well  Tinker  over clock  etc. Happy tinkering. Will buy donate when refill my card attached next Wednesday  DPR2503 PS: In future update maybe will be able to keep on notifications!""""",1,0,1,1,45792
"Clip Stack surely does the job it proclaims to execute. However  there isn't much value in the application because a typical """"""""""""""""""""""""""""""""Notepad"""""""""""""""""""""""""""""""" application pretty much does the same job if you wish for text and other media like a file. It would have been awesome if the contextual clipboard is presented with the option to pick up the values from """"""""""""""""""""""""""""""""Clip Stack"""""""""""""""""""""""""""""""". For instance  I navigate to a website and would want to paste multiple values in the text fields designated. If I attempt to copy a value from Clip Stack app and then navigate back to the website to paste those values  it would take me a lot of time. Instead of that  WHAT IF soon after I long-press on the field  it presents with the option to paste content from the clipboard as well as present me a snapshot of values from """"""""""""""""""""""""""""""""Clip Stack""""""""""""""""""""""""""""""""  which way I should have attempted to pick and paste one of the values from the application. This would be more intuitive. Not sure whether Android provides us a way to achieve it. But  such a feature would have truly been awesome instead of the existing features. Application design surely is commendable. But  unless the aforementioned feature has been added  we would not be finding it usable.""""",1,0,0,1,99927
"Best TTS so far! I've been using this the day I got my new Samsung Galaxy Note 4 and it has tremendously helped with my language learning instead of reading it all the time! :3 Though I do like it paired with Read Aloud  another awesome tool I have for selecting text and listening to my selection in my target learning language  I do have a few minor issues. For some odd reason  the Notify and Read Aloud apps do not automatically detect the languages I select in Read Aloud and only goes with a default language I set. This means I have to manually set the language I want read  which is very annoying. In addition  the language detection percentage found in Read Aloud does not work at all in my heavy testing. One other problem I have is the headset I plug in my phone used to read the audio stream I set to read aloud doesn't seem to work anymore. When I first downloaded the app a few days ago  it worked even with the head-set on. Now  it tells me """"""""""""""""""""""""""""""""Screen On"""""""""""""""""""""""""""""""" highlighted in red as a reason why it did not speak my chosen stream. Sometimes I need to set the device state to only """"""""""""""""""""""""""""""""Headset On"""""""""""""""""""""""""""""""" when other people are sleeping or do not want to be disturbed and it doesn't work  period.""""",0,1,0,1,307
"Does what it claims; and that's the best that can be said. I don't have the time it would take to describe all the ways this app is disappointing. In order to adjust an antennae using this app you would have to have a pencil and paper to write down all of the station number translations during the 15+ minutes it takes to manually """"""""""""""""""""""""""""""""scan"""""""""""""""""""""""""""""""" each individual station. Then manually type in the stations you want to tune/adjust in a tedious process of turn  type  wait  repeat. The alternative is to """"""""""""""""""""""""""""""""scan"""""""""""""""""""""""""""""""" them several times to make sure getting one station clear doesn't undo the tuning of another. This  of course  would take several hours if you live anywhere near a metropolitan area. There are 2 or 3 extremely simple UI enhancements that could make this """"""""""""""""""""""""""""""""simple"""""""""""""""""""""""""""""""" app actually usable. Since this hasn't happened in the last year  I don't expect it anytime soon. For the love of all that's usable  couldn't you at least retain the list of tuned stations to scroll through?! From my experience with app development  I can only imagine that the original app was written in less than an hour and the only development time devoted to it since has been debugging.""""",1,1,0,1,14490
"Hi. First of all let me thank you for the continued support of the Alarm Klock application. I've been happily using it for many years. However  I'm very unhappy about the new UI. Everything is more complicated now. Consider changing the time of the alarm (which is something I do often): previously you clicked the alarm and you could start changing the time. Now you have to long-click the alarm  then click the time  an only then you can change it. Why make it more complicated? What's the purpose? Other problems: - maximum volume-increase interval is now 60 seconds. In the old app I used 90 seconds and I was happy about it. Why did this had to be disabled? What's so wrong about 90 seconds? - the """"""""""""""""""""""""""""""""increase/decrease by 1 minute"""""""""""""""""""""""""""""""" buttons are missing. You now have to fiddle with the system keyboard to achieve this. Inconvenient. - icons are used instead of texts. App looks """"""""""""""""""""""""""""""""cooler"""""""""""""""""""""""""""""""" but it's harder to determine which option does what. Again  inconvenient. I use Android Marshmallow and the old UI worked perfectly for me. The new UI adds nothing  removes some functionality and makes other functionality harder to use. Please  please  PLEASE consider bringing the old UI back!""""",1,1,1,1,92302
PD Is amazing... But just one small complaint I've been playing Pixel Dungeon give or take about 4 years  and I loved it from the beginning. There was a point where I had a hard time keeping up with the game because of all of the updates that was over a year ago so I'm going to try it again. It has been a source of inspiration in my D&D play  and it has never ceased to keep me entertained  no matter how hard or easy I may find it. I especially enjoy a game that is well built  evenly balanced  and takes up less than 30 megabytes of information as if to say; I've been thinking about your Hardware  and I appreciate your patronage. The only time I've had a problem with this game glitching up was due to my own Hardware  completely irrelevant to this game. Except for every so often  I'll touch one part of the screen and my character will want to go the long way  or something out of the way of where I was attempting to go. I don't know if that's a hardware or software problem  but I've encountered it on multiple devices. Regardless this game is fun to play in my opinion. And for those of you with Android consider yourself lucky because you have to pay for it on Steam Powered and iOS all things considered I still think it's worth it!,0,1,0,1,42686
Good नौकरी (job) करने वाले दोस्त कृपया जरूर पढ़ें :- भारत में लगभग 70% लोग ऐसे हैँ जो 10 से 15000/= की नौकरी करते हैं उनके बॉस या मालिक उनसे 8 से 12 घंटे की कड़ी मेहनत करवाते हैं तब जाकर उन्हें पगार (salary) देते हैं उस पैसे से वे लोग अपने घर का खर्च भी ठीक से नहीं चला पाते दोस्तों मै भी ऐसा ही था सोचता रहता था काश कोई ऐसा काम मिल जाये जिससे मेरे परिवार की सभी जरूरतें पूरी हो जाएं और मुझे जॉब भी ना छोड़नी पड़े आखिर भगवान की कृपा से वो काम मुझे मिल ही गया 3 महीने मैंने इस कंपनी में जैसे मुझे बताया गया वैसे करता गया,0,0,0,1,77579
This app is so good it makes too much sense for it to be a stock android app. That would make things too easy. I am a die hard Android fan  but we all know Android tends to make things as multistep as possible in order to avoid user frustration and increase security. I opened this app  did exactly one search and after the app immediately opened since I apparently only had one that started with swiftly  I immediately came here to rate this app. One of the problems I have with next launcher is that the search function requires you to click inside the searchbox  which is at the very top of the screen  making this an inconvenient and inefficient task on my note 5. This app already has the cursor ready to go so you can just type. I immediately knew this is one of the best apps I have ever installed and I have purchased and downloaded many good apps. This app makes it less exhausting to have an android phone. I would die before owning an iphone  but since I like having a clean homescreen and I like to be able to access any app from any screen  I am regularly using shortcut and gesture apps  which is a lot to remember in itself  so having an app that just cuts out two steps improves the entire user experience of my phone.,0,1,1,1,43344
